capital_sociallicitacoes,atividade_principal_code,tipo,situacao,natureza_juridica,participacoes,vitorias,class
5022000,45.11-1-01,MATRIZ,ATIVA,206-2,3,1,NAO
300000,47.11-3-02,MATRIZ,ATIVA,213-5,3,2,NAO
60000,47.51-2-01,MATRIZ,ATIVA,206-2,22,20,NAO
600000,41.20-4-00,MATRIZ,ATIVA,206-2,4,3,NAO
?,47.31-8-00,MATRIZ,ATIVA,206-2,2,2,NAO
50000,33.29-5-99,MATRIZ,ATIVA,206-2,8,8,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,2,2,NAO
50000,47.12-1-00,MATRIZ,ATIVA,213-5,11,11,NAO
?,31.02-1-00,FILIAL,ATIVA,206-2,4,3,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,2,2,NAO
212000,26.60-4-00,MATRIZ,ATIVA,206-2,6,6,NAO
100000,47.53-9-00,MATRIZ,ATIVA,206-2,3,3,NAO
?,46.37-1-07,MATRIZ,ATIVA,206-2,2,2,NAO
500000,77.39-0-03,MATRIZ,ATIVA,206-2,6,4,NAO
?,96.03-3-04,MATRIZ,ATIVA,206-2,2,2,SIM
15000,47.55-5-02,MATRIZ,ATIVA,213-5,10,8,NAO
65000,47.11-3-02,MATRIZ,ATIVA,206-2,2,2,NAO
90000,47.31-8-00,MATRIZ,ATIVA,213-5,8,8,NAO
?,47.44-0-02,MATRIZ,ATIVA,213-5,5,4,NAO
620000,41.20-4-00,MATRIZ,ATIVA,230-5,2,1,NAO
80000,41.20-4-00,MATRIZ,ATIVA,230-5,4,3,NAO
?,96.03-3-04,FILIAL,ATIVA,213-5,2,2,NAO
1000000,46.45-1-01,MATRIZ,ATIVA,206-2,3,2,NAO
40000,18.13-0-99,MATRIZ,ATIVA,213-5,2,2,NAO
50000,47.71-7-01,MATRIZ,ATIVA,213-5,2,2,NAO
2500000,41.20-4-00,MATRIZ,ATIVA,206-2,3,3,NAO
500000,47.31-8-00,MATRIZ,ATIVA,213-5,3,3,NAO
?,18.13-0-99,MATRIZ,ATIVA,213-5,2,1,NAO
50000,47.31-8-00,MATRIZ,ATIVA,213-5,4,5,NAO
800000,41.20-4-00,MATRIZ,ATIVA,206-2,6,5,NAO
80000,47.44-0-05,MATRIZ,ATIVA,213-5,8,7,NAO
300000,41.20-4-00,MATRIZ,ATIVA,206-2,4,6,NAO
30000,47.44-0-99,MATRIZ,ATIVA,213-5,52,50,NAO
?,47.44-0-99,MATRIZ,ATIVA,213-5,2,2,NAO
30000,47.84-9-00,MATRIZ,ATIVA,213-5,2,2,NAO
200000,61.10-8-03,MATRIZ,ATIVA,206-2,5,4,NAO
70000,49.29-9-02,MATRIZ,ATIVA,206-2,2,2,NAO
?,58.29-8-00,MATRIZ,ATIVA,206-2,2,2,NAO
4000000,46.45-1-01,MATRIZ,ATIVA,230-5,9,9,NAO
50000,47.73-3-00,MATRIZ,ATIVA,213-5,27,26,NAO
?,47.31-8-00,FILIAL,ATIVA,206-2,3,3,NAO
15000,47.31-8-00,MATRIZ,ATIVA,206-2,5,5,NAO
180000,41.20-4-00,MATRIZ,ATIVA,206-2,2,2,NAO
255000,10.31-7-00,MATRIZ,ATIVA,206-2,2,0,NAO
25000000,20.99-1-99,FILIAL,ATIVA,206-2,8,8,NAO
?,47.71-7-01,MATRIZ,ATIVA,213-5,2,2,NAO
2000000,38.11-4-00,MATRIZ,ATIVA,206-2,22,20,NAO
80000,47.63-6-01,FILIAL,ATIVA,230-5,2,2,NAO
?,86.40-2-02,MATRIZ,ATIVA,213-5,2,2,NAO
300000,41.20-4-00,MATRIZ,ATIVA,206-2,5,5,NAO
?,45.30-7-03,MATRIZ,ATIVA,206-2,4,4,NAO
100000,10.91-1-01,MATRIZ,ATIVA,206-2,9,9,NAO
17300000,00.00-0-00,MATRIZ,BAIXADA,206-2,3,2,NAO
?,47.31-8-00,MATRIZ,ATIVA,206-2,5,5,NAO
?,46.39-7-01,MATRIZ,ATIVA,206-2,2,1,NAO
20000,96.03-3-99,MATRIZ,ATIVA,213-5,3,3,NAO
30000,33.12-1-03,MATRIZ,ATIVA,213-5,2,2,NAO
50000,47.12-1-00,MATRIZ,ATIVA,206-2,2,1,NAO
40000,47.63-6-04,MATRIZ,ATIVA,213-5,4,4,NAO
990000,41.20-4-00,MATRIZ,ATIVA,206-2,3,1,NAO
120000,18.13-0-99,MATRIZ,ATIVA,213-5,4,0,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,11,10,NAO
140000,47.22-9-01,MATRIZ,ATIVA,213-5,4,4,NAO
15000,47.12-1-00,MATRIZ,ATIVA,213-5,2,2,NAO
180000,47.44-0-01,MATRIZ,ATIVA,206-2,2,1,NAO
?,47.44-0-05,MATRIZ,ATIVA,213-5,2,2,NAO
?,47.71-7-01,MATRIZ,ATIVA,213-5,13,13,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,2,2,SIM
?,47.31-8-00,MATRIZ,ATIVA,206-2,3,3,NAO
?,47.31-8-00,FILIAL,ATIVA,206-2,2,3,NAO
20000,47.12-1-00,MATRIZ,ATIVA,206-2,2,2,NAO
150000,47.13-0-02,MATRIZ,ATIVA,206-2,68,57,NAO
?,88.00-6-00,MATRIZ,ATIVA,399-9,13,2,NAO
260000,77.39-0-02,MATRIZ,ATIVA,206-2,6,6,NAO
?,56.20-1-01,MATRIZ,ATIVA,206-2,2,2,NAO
?,86.40-2-02,MATRIZ,ATIVA,224-0,2,1,NAO
17000,86.30-5-03,MATRIZ,ATIVA,213-5,5,3,NAO
500000,46.45-1-01,MATRIZ,ATIVA,206-2,180,169,NAO
50000,47.51-2-01,MATRIZ,ATIVA,206-2,21,19,NAO
?,47.31-8-00,MATRIZ,ATIVA,213-5,2,2,SIM
100000,47.31-8-00,MATRIZ,ATIVA,230-5,2,2,NAO
222000,47.89-0-99,MATRIZ,ATIVA,206-2,17,16,NAO
200000,47.11-3-02,MATRIZ,ATIVA,206-2,11,11,NAO
45000,47.12-1-00,MATRIZ,ATIVA,213-5,2,2,NAO
?,94.30-8-00,MATRIZ,ATIVA,399-9,7,6,NAO
?,94.11-1-00,MATRIZ,ATIVA,399-9,2,1,NAO
2943000,32.50-7-07,MATRIZ,ATIVA,206-2,4,4,NAO
50000,45.30-7-03,MATRIZ,ATIVA,213-5,3,2,NAO
?,47.44-0-05,MATRIZ,ATIVA,213-5,2,2,NAO
7328000,45.11-1-01,MATRIZ,ATIVA,206-2,9,2,NAO
7328000,45.11-1-01,FILIAL,ATIVA,206-2,5,4,NAO
40000,47.11-3-02,MATRIZ,ATIVA,206-2,4,4,NAO
?,86.30-5-01,MATRIZ,ATIVA,206-2,2,2,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,4,4,NAO
?,56.11-2-01,MATRIZ,ATIVA,206-2,2,2,NAO
300000,93.19-1-01,MATRIZ,ATIVA,206-2,152,96,NAO
?,45.30-7-03,MATRIZ,ATIVA,213-5,2,2,NAO
1100000,41.20-4-00,MATRIZ,ATIVA,230-5,6,1,NAO
100000,74.20-0-04,MATRIZ,ATIVA,213-5,8,4,NAO
2000000,43.99-1-05,MATRIZ,ATIVA,230-5,6,3,NAO
500000,41.20-4-00,MATRIZ,ATIVA,206-2,15,7,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,4,4,NAO
?,45.11-1-04,MATRIZ,ATIVA,206-2,6,5,NAO
?,45.11-1-04,FILIAL,ATIVA,206-2,3,2,NAO
40000,77.11-0-00,MATRIZ,ATIVA,213-5,3,3,SIM
65000,45.30-7-03,MATRIZ,ATIVA,206-2,2,2,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,5,5,NAO
50000,47.61-0-03,MATRIZ,ATIVA,213-5,38,33,NAO
80000,10.20-1-02,MATRIZ,ATIVA,206-2,8,4,NAO
?,45.41-2-03,MATRIZ,ATIVA,213-5,2,2,NAO
1000000,41.20-4-00,MATRIZ,ATIVA,206-2,5,4,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,5,5,NAO
100000,47.12-1-00,MATRIZ,ATIVA,230-5,175,102,NAO
95000,49.23-0-02,MATRIZ,ATIVA,230-5,6,3,NAO
80000,47.12-1-00,MATRIZ,ATIVA,213-5,2,2,NAO
?,46.39-7-01,MATRIZ,ATIVA,213-5,2,2,NAO
25000,46.45-1-01,MATRIZ,ATIVA,206-2,7,3,NAO
10000,47.12-1-00,MATRIZ,ATIVA,213-5,2,1,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,17,13,NAO
20000,47.44-0-05,MATRIZ,ATIVA,206-2,4,4,NAO
120000,49.24-8-00,MATRIZ,ATIVA,230-5,7,6,NAO
600000,47.31-8-00,MATRIZ,ATIVA,206-2,3,4,NAO
600000,47.31-8-00,FILIAL,ATIVA,206-2,12,12,NAO
1950000,41.20-4-00,MATRIZ,ATIVA,206-2,2,2,NAO
?,86.40-2-02,MATRIZ,ATIVA,206-2,3,3,NAO
100000,47.63-6-01,MATRIZ,ATIVA,206-2,6,4,NAO
29000,47.12-1-00,MATRIZ,ATIVA,206-2,2,2,NAO
100000,27.90-2-02,MATRIZ,ATIVA,206-2,3,3,NAO
600000,38.11-4-00,MATRIZ,ATIVA,230-5,11,9,NAO
400000,47.31-8-00,MATRIZ,ATIVA,206-2,2,2,NAO
500000,71.12-0-00,MATRIZ,ATIVA,230-5,3,3,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,5,5,NAO
?,47.44-0-99,MATRIZ,ATIVA,213-5,2,2,NAO
200000,46.47-8-01,MATRIZ,ATIVA,206-2,2,1,NAO
?,47.31-8-00,MATRIZ,ATIVA,206-2,2,2,NAO
?,47.44-0-05,MATRIZ,ATIVA,213-5,2,2,NAO
50000,47.31-8-00,MATRIZ,ATIVA,206-2,3,3,NAO
160000,22.29-3-99,MATRIZ,ATIVA,206-2,5,3,NAO
15000,47.12-1-00,MATRIZ,ATIVA,213-5,7,1,NAO
35000,47.44-0-05,MATRIZ,ATIVA,213-5,4,2,NAO
120000,14.13-4-01,MATRIZ,ATIVA,206-2,4,0,NAO
400000,45.30-7-03,MATRIZ,ATIVA,206-2,3,2,NAO
6300000,41.20-4-00,MATRIZ,ATIVA,230-5,2,1,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,2,2,NAO
?,47.44-0-01,MATRIZ,ATIVA,213-5,2,2,NAO
?,55.10-8-01,MATRIZ,ATIVA,206-2,3,3,NAO
20000,79.11-2-00,MATRIZ,ATIVA,213-5,12,10,NAO
300000,47.63-6-02,MATRIZ,ATIVA,213-5,14,7,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,4,4,NAO
?,62.01-5-01,MATRIZ,ATIVA,399-9,10,7,NAO
120000,47.22-9-01,MATRIZ,ATIVA,206-2,10,8,NAO
250000,45.11-1-02,MATRIZ,ATIVA,206-2,6,4,NAO
78800,47.71-7-01,MATRIZ,ATIVA,206-2,3,3,NAO
250000,47.51-2-01,MATRIZ,ATIVA,230-5,31,31,NAO
?,96.03-3-99,MATRIZ,ATIVA,213-5,5,5,NAO
?,47.71-7-01,MATRIZ,ATIVA,213-5,2,2,NAO
?,47.31-8-00,MATRIZ,ATIVA,206-2,2,2,NAO
360000,20.14-2-00,MATRIZ,ATIVA,213-5,34,30,NAO
20000,47.44-0-99,MATRIZ,ATIVA,213-5,3,3,NAO
?,94.99-5-00,MATRIZ,ATIVA,399-9,2,0,NAO
23000,47.44-0-02,MATRIZ,ATIVA,213-5,2,2,NAO
?,18.22-9-99,MATRIZ,ATIVA,206-2,2,0,NAO
?,58.21-2-00,MATRIZ,ATIVA,206-2,3,3,NAO
4900000,46.45-1-01,MATRIZ,ATIVA,206-2,2,1,NAO
60000,47.63-6-02,MATRIZ,ATIVA,206-2,43,34,NAO
?,47.31-8-00,MATRIZ,ATIVA,206-2,7,7,NAO
?,47.89-0-06,MATRIZ,ATIVA,213-5,3,3,NAO
?,47.61-0-01,MATRIZ,ATIVA,206-2,12,10,NAO
400000,47.61-0-03,MATRIZ,ATIVA,206-2,10,12,NAO
210000,47.71-7-01,MATRIZ,ATIVA,206-2,2,2,NAO
100000,41.20-4-00,MATRIZ,ATIVA,230-5,5,3,NAO
100000,49.29-9-01,MATRIZ,ATIVA,213-5,34,14,NAO
150000,90.01-9-02,MATRIZ,ATIVA,213-5,3,1,NAO
100000,47.61-0-03,MATRIZ,ATIVA,230-5,7,6,NAO
440000,46.49-4-08,MATRIZ,ATIVA,206-2,12,8,NAO
15000,47.61-0-03,MATRIZ,ATIVA,213-5,4,3,NAO
?,47.63-6-02,MATRIZ,ATIVA,206-2,12,12,NAO
?,47.31-8-00,MATRIZ,ATIVA,206-2,4,4,NAO
?,47.31-8-00,MATRIZ,ATIVA,206-2,3,3,NAO
?,47.21-1-02,MATRIZ,ATIVA,213-5,2,2,NAO
50000,86.30-5-03,MATRIZ,ATIVA,206-2,3,3,NAO
450000,77.11-0-00,MATRIZ,ATIVA,230-5,13,12,NAO
?,49.29-9-01,MATRIZ,ATIVA,206-2,2,2,SIM
90000,43.22-3-02,MATRIZ,ATIVA,230-5,3,3,NAO
?,49.21-3-01,MATRIZ,ATIVA,213-5,4,3,NAO
?,96.03-3-99,MATRIZ,ATIVA,213-5,5,5,NAO
?,47.44-0-05,MATRIZ,ATIVA,213-5,3,3,NAO
?,47.71-7-04,MATRIZ,ATIVA,213-5,2,2,NAO
150000,46.79-6-99,MATRIZ,ATIVA,206-2,6,5,NAO
30000,10.91-1-02,MATRIZ,ATIVA,213-5,2,2,NAO
30000,82.11-3-00,MATRIZ,ATIVA,206-2,48,48,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,2,2,NAO
100000,47.51-2-01,MATRIZ,ATIVA,213-5,6,5,NAO
?,47.54-7-01,MATRIZ,ATIVA,213-5,2,1,NAO
?,47.21-1-02,MATRIZ,ATIVA,213-5,2,2,NAO
30000,47.12-1-00,MATRIZ,ATIVA,213-5,6,6,NAO
400000,47.81-4-00,MATRIZ,ATIVA,230-5,14,13,NAO
100000,47.11-3-02,MATRIZ,ATIVA,230-5,2,0,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,2,2,NAO
?,47.71-7-01,MATRIZ,ATIVA,213-5,2,2,NAO
250000,62.02-3-00,MATRIZ,ATIVA,206-2,9,7,NAO
?,47.31-8-00,MATRIZ,ATIVA,206-2,2,2,NAO
52000,47.51-2-01,MATRIZ,ATIVA,206-2,8,8,NAO
100000,45.30-7-03,MATRIZ,ATIVA,206-2,2,2,NAO
100000,61.90-6-01,MATRIZ,ATIVA,206-2,3,3,NAO
?,10.91-1-02,MATRIZ,ATIVA,206-2,3,3,NAO
600000,46.44-3-01,MATRIZ,ATIVA,206-2,4,4,NAO
65000000,61.90-6-99,MATRIZ,ATIVA,205-4,2,0,NAO
20000,47.84-9-00,MATRIZ,ATIVA,213-5,2,2,NAO
?,47.44-0-99,MATRIZ,ATIVA,213-5,2,2,NAO
150000,77.11-0-00,MATRIZ,ATIVA,213-5,10,8,NAO
?,10.91-1-02,MATRIZ,ATIVA,213-5,2,2,NAO
20000,47.51-2-01,MATRIZ,ATIVA,213-5,2,2,NAO
?,47.31-8-00,FILIAL,ATIVA,213-5,2,3,NAO
?,10.91-1-02,MATRIZ,ATIVA,213-5,2,2,SIM
?,47.31-8-00,MATRIZ,ATIVA,213-5,5,5,NAO
?,61.90-6-01,MATRIZ,ATIVA,206-2,5,5,NAO
?,47.42-3-00,MATRIZ,ATIVA,206-2,28,26,NAO
230000,47.31-8-00,MATRIZ,ATIVA,206-2,2,2,NAO
50000,47.12-1-00,MATRIZ,ATIVA,213-5,14,13,NAO
?,46.41-9-01,MATRIZ,ATIVA,206-2,18,14,NAO
40000,82.30-0-01,MATRIZ,ATIVA,213-5,4,3,NAO
800000,47.31-8-00,MATRIZ,ATIVA,206-2,2,1,NAO
120000,33.12-1-03,MATRIZ,ATIVA,206-2,124,114,NAO
?,47.31-8-00,MATRIZ,ATIVA,213-5,10,12,NAO
30000,47.29-6-99,MATRIZ,ATIVA,213-5,2,0,NAO
80000,86.40-2-05,MATRIZ,ATIVA,230-5,2,1,NAO
360000,47.31-8-00,FILIAL,ATIVA,206-2,3,3,NAO
?,46.39-7-01,MATRIZ,ATIVA,206-2,2,0,NAO
70000,47.61-0-02,MATRIZ,ATIVA,213-5,32,30,NAO
450000,46.31-1-00,MATRIZ,ATIVA,206-2,2,1,NAO
?,47.44-0-99,MATRIZ,ATIVA,213-5,3,3,NAO
1000000,43.13-4-00,MATRIZ,ATIVA,206-2,9,5,NAO
200000,47.31-8-00,MATRIZ,ATIVA,230-5,9,9,NAO
130000,47.31-8-00,MATRIZ,ATIVA,213-5,2,2,NAO
?,47.84-9-00,MATRIZ,ATIVA,213-5,8,8,NAO
?,47.44-0-02,MATRIZ,ATIVA,213-5,4,4,NAO
300000,41.20-4-00,MATRIZ,ATIVA,206-2,64,19,NAO
100000,46.45-1-01,MATRIZ,ATIVA,206-2,6,4,NAO
24674166,46.61-3-00,FILIAL,ATIVA,205-4,7,5,NAO
?,69.20-6-01,MATRIZ,ATIVA,206-2,29,30,NAO
?,47.31-8-00,MATRIZ,ATIVA,206-2,3,4,NAO
300000,61.10-8-03,MATRIZ,ATIVA,206-2,26,24,NAO
?,45.11-1-01,MATRIZ,ATIVA,206-2,3,3,NAO
?,46.64-8-00,MATRIZ,ATIVA,206-2,23,23,NAO
150000,46.44-3-01,MATRIZ,ATIVA,206-2,4,1,NAO
800000,41.20-4-00,MATRIZ,ATIVA,230-5,16,12,NAO
?,47.71-7-01,MATRIZ,ATIVA,206-2,2,2,NAO
700000,10.91-1-02,MATRIZ,ATIVA,206-2,2,0,NAO
?,61.10-8-03,MATRIZ,ATIVA,213-5,2,2,NAO
40000,45.20-0-01,MATRIZ,ATIVA,213-5,25,24,NAO
30000,47.81-4-00,MATRIZ,ATIVA,213-5,3,3,NAO
40000,47.12-1-00,MATRIZ,ATIVA,213-5,2,2,NAO
?,47.71-7-01,MATRIZ,ATIVA,213-5,5,5,NAO
30000,47.51-2-01,MATRIZ,ATIVA,213-5,2,1,NAO
60000,81.22-2-00,MATRIZ,ATIVA,213-5,2,1,NAO
30000,47.31-8-00,MATRIZ,ATIVA,213-5,5,6,NAO
30000,47.31-8-00,FILIAL,ATIVA,213-5,7,8,NAO
?,47.44-0-99,MATRIZ,ATIVA,213-5,2,2,NAO
?,47.31-8-00,MATRIZ,ATIVA,213-5,3,4,NAO
20000,47.81-4-00,MATRIZ,ATIVA,213-5,2,1,NAO
90000,90.01-9-06,MATRIZ,ATIVA,206-2,6,4,NAO
?,82.19-9-01,MATRIZ,ATIVA,213-5,3,3,NAO
?,47.89-0-02,MATRIZ,ATIVA,213-5,4,4,NAO
93700,45.30-7-03,MATRIZ,ATIVA,206-2,2,2,NAO
?,47.31-8-00,MATRIZ,ATIVA,206-2,4,3,NAO
30000,47.12-1-00,MATRIZ,ATIVA,213-5,3,3,NAO
5000,85.99-6-04,MATRIZ,ATIVA,213-5,20,12,NAO
?,47.44-0-05,MATRIZ,ATIVA,213-5,5,5,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,5,5,NAO
200000,46.44-3-01,MATRIZ,ATIVA,230-5,9,7,NAO
30000,47.12-1-00,MATRIZ,ATIVA,213-5,10,10,NAO
2000,82.19-9-99,MATRIZ,ATIVA,213-5,2,2,NAO
100000,77.11-0-00,MATRIZ,ATIVA,230-5,3,2,NAO
?,86.30-5-04,MATRIZ,ATIVA,213-5,2,2,NAO
50000,47.12-1-00,MATRIZ,ATIVA,213-5,3,3,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,2,2,NAO
60000,47.12-1-00,MATRIZ,ATIVA,213-5,5,5,NAO
?,46.61-3-00,MATRIZ,ATIVA,206-2,3,2,NAO
8000,47.12-1-00,MATRIZ,ATIVA,213-5,2,2,NAO
?,58.29-8-00,MATRIZ,ATIVA,213-5,5,5,NAO
?,45.30-7-03,MATRIZ,ATIVA,213-5,2,2,NAO
?,61.90-6-01,MATRIZ,ATIVA,213-5,2,2,NAO
300000,17.41-9-02,MATRIZ,ATIVA,213-5,11,11,NAO
50000,86.40-2-02,MATRIZ,ATIVA,206-2,3,3,NAO
1000000,46.44-3-01,MATRIZ,ATIVA,206-2,24,21,NAO
20000,77.32-2-01,MATRIZ,ATIVA,206-2,2,1,NAO
40000,47.44-0-99,MATRIZ,ATIVA,213-5,2,2,NAO
150000,56.11-2-01,MATRIZ,ATIVA,213-5,2,1,NAO
200000,47.44-0-01,MATRIZ,ATIVA,230-5,53,29,NAO
?,47.42-3-00,MATRIZ,ATIVA,206-2,9,9,NAO
40000,47.31-8-00,MATRIZ,ATIVA,213-5,3,3,NAO
300000,61.10-8-03,MATRIZ,ATIVA,206-2,8,6,NAO
90000,61.90-6-01,MATRIZ,ATIVA,213-5,3,2,NAO
?,18.13-0-01,MATRIZ,ATIVA,213-5,2,2,NAO
?,47.89-0-99,MATRIZ,ATIVA,206-2,5,6,NAO
?,93.13-1-00,MATRIZ,ATIVA,213-5,2,2,NAO
80000,45.30-7-03,MATRIZ,ATIVA,230-5,12,9,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,4,4,NAO
120000,86.40-2-02,MATRIZ,ATIVA,206-2,15,14,NAO
?,47.31-8-00,MATRIZ,ATIVA,213-5,2,2,NAO
100000,47.44-0-99,MATRIZ,ATIVA,230-5,2,2,NAO
40000,82.30-0-01,MATRIZ,ATIVA,213-5,2,1,NAO
?,96.03-3-99,MATRIZ,ATIVA,213-5,2,2,NAO
?,59.20-1-00,MATRIZ,ATIVA,213-5,2,0,NAO
150000,96.03-3-04,MATRIZ,ATIVA,213-5,7,7,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,2,2,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,4,0,NAO
38096796,21.21-1-01,MATRIZ,ATIVA,206-2,2,2,NAO
500000,46.62-1-00,MATRIZ,ATIVA,206-2,8,4,NAO
15000,47.71-7-01,MATRIZ,ATIVA,213-5,2,2,NAO
1000000,46.45-1-01,MATRIZ,ATIVA,206-2,7,6,NAO
?,23.30-3-01,MATRIZ,ATIVA,213-5,2,2,NAO
?,47.89-0-99,MATRIZ,ATIVA,213-5,2,2,NAO
?,46.64-8-00,MATRIZ,ATIVA,206-2,8,8,NAO
500000,46.45-1-01,MATRIZ,ATIVA,206-2,62,54,NAO
500000,46.45-1-01,FILIAL,ATIVA,206-2,3,4,NAO
300000,70.20-4-00,MATRIZ,ATIVA,206-2,7,4,NAO
?,47.44-0-99,MATRIZ,ATIVA,213-5,2,2,NAO
?,47.31-8-00,MATRIZ,ATIVA,206-2,3,3,NAO
?,86.40-2-02,MATRIZ,ATIVA,224-0,2,1,NAO
30000,47.59-8-99,MATRIZ,ATIVA,213-5,2,1,NAO
250000,45.30-7-03,MATRIZ,ATIVA,206-2,3,3,NAO
40000,47.12-1-00,MATRIZ,ATIVA,213-5,2,2,NAO
150000,47.81-4-00,MATRIZ,ATIVA,206-2,42,15,NAO
100000,47.51-2-01,MATRIZ,ATIVA,206-2,2,2,NAO
10000,45.20-0-01,MATRIZ,ATIVA,213-5,3,3,NAO
?,47.31-8-00,MATRIZ,ATIVA,213-5,4,5,NAO
80000,61.90-6-01,MATRIZ,ATIVA,206-2,3,3,NAO
20000,33.12-1-03,MATRIZ,ATIVA,206-2,2,1,NAO
100000,47.55-5-02,MATRIZ,ATIVA,213-5,2,2,NAO
10000,82.30-0-01,MATRIZ,ATIVA,213-5,15,14,NAO
?,94.30-8-00,MATRIZ,ATIVA,214-3,2,2,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,2,2,NAO
30000,47.71-7-01,FILIAL,ATIVA,213-5,2,2,NAO
?,62.09-1-00,MATRIZ,ATIVA,206-2,2,0,NAO
400000,41.20-4-00,MATRIZ,ATIVA,230-5,4,2,NAO
200000,47.31-8-00,MATRIZ,ATIVA,206-2,2,2,NAO
100000,47.51-2-01,MATRIZ,ATIVA,230-5,9,7,NAO
100000,47.89-0-99,MATRIZ,ATIVA,230-5,2,2,NAO
30000,32.50-7-06,MATRIZ,ATIVA,213-5,4,4,NAO
200000,46.44-3-01,MATRIZ,ATIVA,206-2,3,3,NAO
15000,47.44-0-99,MATRIZ,ATIVA,206-2,2,2,NAO
100000,62.09-1-00,MATRIZ,ATIVA,230-5,8,8,NAO
350000,42.21-9-03,MATRIZ,ATIVA,230-5,5,3,NAO
1800000,42.99-5-99,MATRIZ,ATIVA,230-5,19,10,NAO
1056280,26.21-3-00,MATRIZ,ATIVA,206-2,3,3,NAO
100000,46.44-3-01,MATRIZ,ATIVA,206-2,8,8,NAO
?,47.44-0-99,MATRIZ,ATIVA,213-5,2,1,NAO
450000,45.30-7-03,MATRIZ,ATIVA,206-2,12,14,NAO
600000,46.34-6-99,MATRIZ,ATIVA,206-2,93,55,NAO
240000,86.40-2-04,MATRIZ,ATIVA,206-2,6,6,NAO
30000,47.51-2-01,MATRIZ,ATIVA,206-2,2,2,NAO
?,95.11-8-00,MATRIZ,ATIVA,213-5,3,2,NAO
100000,77.11-0-00,MATRIZ,ATIVA,206-2,5,2,NAO
?,45.30-7-05,MATRIZ,ATIVA,206-2,11,9,NAO
?,58.29-8-00,MATRIZ,ATIVA,213-5,5,4,NAO
50000,47.51-2-01,MATRIZ,ATIVA,213-5,12,10,NAO
467500,47.31-8-00,MATRIZ,ATIVA,206-2,4,4,NAO
110000,18.13-0-01,MATRIZ,ATIVA,230-5,13,8,NAO
?,47.12-1-00,MATRIZ,ATIVA,206-2,20,13,NAO
100000,31.02-1-00,MATRIZ,ATIVA,206-2,46,44,NAO
50000,77.11-0-00,MATRIZ,ATIVA,206-2,9,7,NAO
?,14.14-2-00,MATRIZ,ATIVA,213-5,4,3,NAO
200000,41.20-4-00,MATRIZ,ATIVA,206-2,2,2,NAO
?,14.12-6-01,MATRIZ,ATIVA,213-5,2,2,NAO
?,46.33-8-01,MATRIZ,ATIVA,206-2,21,15,NAO
?,86.40-2-02,MATRIZ,ATIVA,206-2,2,2,NAO
50000,55.90-6-03,MATRIZ,ATIVA,206-2,2,2,NAO
?,47.12-1-00,MATRIZ,ATIVA,213-5,3,3,NAO
?,10.91-1-02,MATRIZ,ATIVA,213-5,3,3,NAO
?,47.44-0-99,MATRIZ,ATIVA,213-5,2,2,NAO
?,79.11-2-00,MATRIZ,ATIVA,206-2,2,1,NAO
80000,90.01-9-02,MATRIZ,ATIVA,230-5,2,1,NAO
10000,86.40-2-02,MATRIZ,ATIVA,206-2,3,1,NAO
?,45.30-7-03,MATRIZ,ATIVA,206-2,8,8,NAO
15000,47.71-7-01,FILIAL,ATIVA,213-5,5,6,NAO
160000,47.71-7-01,MATRIZ,ATIVA,206-2,3,3,SIM
3000000,41.20-4-00,MATRIZ,ATIVA,206-2,2,0,NAO
?,20.61-4-00,MATRIZ,ATIVA,206-2,29,22,NAO
80000,14.12-6-02,MATRIZ,ATIVA,213-5,15,15,NAO
?,47.31-8-00,MATRIZ,ATIVA,206-2,3,2,NAO
?,70.20-4-00,MATRIZ,ATIVA,206-2,7,7,NAO
100000,14.12-6-01,MATRIZ,ATIVA,206-2,14,6,NAO
200000,46.45-1-01,MATRIZ,ATIVA,206-2,15,15,NAO
95000,41.20-4-00,MATRIZ,ATIVA,230-5,3,3,NAO
?,47.31-8-00,MATRIZ,ATIVA,206-2,2,2,NAO
150000,47.31-8-00,MATRIZ,ATIVA,206-2,5,5,NAO
?,56.11-2-01,MATRIZ,ATIVA,213-5,2,2,NAO
?,69.20-6-01,MATRIZ,ATIVA,223-2,3,3,NAO
?,58.29-8-00,MATRIZ,ATIVA,213-5,3,3,NAO
